COD_DANE_A,MPIO_CDPMP,CLAS_CCDGO,TVIVIENDA,TP16_HOG,TP19_EE_1,TP19_EE_E1,TP19_EE_E2,TP19_EE_E3,TP19_EE_E4,TP19_EE_E5,TP19_EE_E6,TP27_PERSO,area_ha,medidores,med_residencial,med_comercial,med_industrial,med_dentro,med_cercano,med_ambiguo,med_dir,consumo_prom,consumo_mediana,estrato_moda,med_estrato1,med_estrato2,med_estrato3,med_estrato4,med_estrato5,med_estrato6,med_x_vivienda,med_x_ha
0500110000000005110609,05001,1,38.0,32.0,32.0,0.0,1.0,31.0,0.0,0.0,0.0,93.0,0.09698988990099933,32.0,32.0,0.0,0.0,13.0,19.0,16.0,0.0,128.7,125.7,3.0,0.0,0.0,32.0,0.0,0.0,0.0,0.84,329.9
0500110000000005110611,05001,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15912423618936225,6.0,6.0,0.0,0.0,0.0,6.0,6.0,0.0,162.7,132.4,3.0,0.0,0.0,6.0,0.0,0.0,0.0,,37.7
0500110000000005110612,05001,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1431876188037158,7.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,166.2,155.2,3.0,0.0,0.0,7.0,0.0,0.0,0.0,,48.9
0500110000000005120101,05001,1,151.0,137.0,137.0,4.0,2.0,124.0,1.0,0.0,6.0,454.0,0.6477085212698881,126.0,118.0,7.0,0.0,103.0,23.0,2.0,2.0,175.3,159.3,3.0,0.0,0.0,118.0,0.0,0.0,0.0,0.83,194.5
0500110000000005120102,05001,1,33.0,26.0,26.0,0.0,0.0,26.0,0.0,0.0,0.0,72.0,0.09188548355696566,29.0,27.0,1.0,0.0,1.0,28.0,0.0,0.0,129.8,123.7,3.0,0.0,0.0,27.0,0.0,0.0,0.0,0.88,315.6
0500110000000005120103,05001,1,83.0,77.0,76.0,0.0,1.0,75.0,0.0,0.0,0.0,233.0,0.30710224626683086,144.0,143.0,1.0,0.0,111.0,33.0,0.0,0.0,153.2,143.5,3.0,0.0,0.0,143.0,0.0,0.0,0.0,1.73,468.9
0500110000000005120104,05001,1,130.0,103.0,103.0,0.0,34.0,68.0,0.0,1.0,0.0,324.0,0.44566793249634845,105.0,104.0,1.0,0.0,69.0,36.0,0.0,0.0,149.4,132.8,3.0,0.0,0.0,104.0,0.0,0.0,0.0,0.81,235.6
0500110000000005120105,05001,1,69.0,62.0,61.0,0.0,1.0,60.0,0.0,0.0,0.0,189.0,0.2750597085902452,67.0,64.0,2.0,1.0,66.0,1.0,0.0,0.0,141.9,130.3,3.0,0.0,0.0,64.0,0.0,0.0,0.0,0.97,243.6
0500110000000005120106,05001,1,217.0,206.0,203.0,0.0,16.0,186.0,0.0,0.0,0.0,638.0,0.9254678433721525,195.0,191.0,2.0,1.0,173.0,22.0,0.0,0.0,161.8,154.0,3.0,0.0,0.0,191.0,0.0,0.0,0.0,0.9,210.7
0500110000000005120107,05001,1,21.0,20.0,20.0,0.0,1.0,17.0,1.0,0.0,1.0,62.0,0.0924122704387511,22.0,19.0,3.0,0.0,8.0,14.0,0.0,0.0,147.5,140.9,3.0,0.0,0.0,19.0,0.0,0.0,0.0,1.05,238.1
0500110000000005120108,05001,1,117.0,111.0,110.0,0.0,0.0,110.0,0.0,0.0,0.0,334.0,0.4396557025009862,104.0,102.0,2.0,0.0,95.0,9.0,0.0,0.0,145.8,133.7,3.0,0.0,0.0,102.0,0.0,0.0,0.0,0.89,236.5
